NUMBER,QUESTION,OPTIONS,SOLUTION,IMAGE Q,ANSWER KEY,IMAGE A
Question 11,which of the following diagnostic markers is/are incorrectly paired?,"a) 1 only
b) 1 and 2
c) 1, 2 and 4
d) 2, 3 and 4","Beta glucocerebrosidase deficiency is seen in Gaucher's disease. It is an inborn error of metabolism due to the deficiency of the enzyme β-glucocerebrosidase (β-glucosidase) that leads to the accumulation of glucocerebroside in the lysosomes of cells.
• It is the most common lysosomal storage disorder. It is inherited in an autosomal recessive manner.
• The clinical features result from the accumulation of lipid-laden macrophages in the spleen, liver, bone marrow, bone, and other tissues.
• There are 3 clinical subtypes, delineated by the difference of neurologic manifestations: type 1, or the adult, non-neuronopathic form; type 2, the infantile or acute neuronopathic form; and type 3, the juvenile or subacute neuronopathic form
• Typical clinical features include delayed puberty, painless hepatomegaly and splenomegaly, liver cirrhosis, hypersplenism and pancytopenia, bleeding tendencies, bone pain due to avascular necrosis, osteoporosis, and pathological fractures.
• Neurological symptoms such as developmental delay, hypertonia, strabismus, and supranuclear gaze palsy (seen in type 3).
• Bone marrow examination usually reveals the presence of Gaucher cells having a characteristic wrinkled-paper appearance.
• Enzyme replacement therapy for Gaucher's disease includes imiglucerase, velaglucerase alfa, taliglucerase alfa, and eliglustat.
von Gierke disease occurs due to deficiency of glucose-6-phosphatase enzyme in the liver, kidney, and intestinal mucosa. Patients present commonly by 3-4 months of age with hypoglycemia (leading to seizures), lactic acidosis, and hepatomegaly. Affected children often have a doll-like face with fat cheeks, relatively thin extremities, short stature, and a protuberant abdomen due to massive hepatomegaly. The kidneys are also enlarged, whereas spleen and heart are not involved. Laboratory findings include hypoglycemia, lactic acidosis, hyperuricemia, and hyperlipidemia.
Elevated serum lipase and serum amylase levels are associated with acute pancreatitis. serum amylase levels do not correlate with the severity of pancreatitis and lack specificity whereas serum lipase is a more specific marker.
Low serum ceruloplasmin level is suggestive of hepatolenticular degeneration seen in wilson's disease. However, it should not be used for definitive diagnosis as levels are normal in 1o% of the affected patients and reduced in 2o% of carriers. The diagnosis of wilson's disease is based on the following:
• Increased 24-hour urinary excretion of copper (screening test)
• Decrease in serum ceruloplasmin
• kayser–Fleischer rings under slit lamp
• Genetic testing for mutations in ATP7B gene
• Liver biopsy with quantitative copper assay (>2oo μg/g dry weight of liver) is the gold standard investigation.
A higher level of LDH1 than LDH 2 in the blood is suggestive of myocardial infarction. under normal conditions, LDH 2 is predominantly present in the blood and LDH 1 is predominantly present in the heart. when cardiac tissue is damaged LDH 1 is released into the bloodstream resulting in a high LDH1:LDH2 ratio known as the flipped LDH ratio (LDH1 > LDH2). LDH is a tetrameric enzyme with 4 subunits. It has four subunits with two isoforms: H isoform (Heart) and M isoform (Muscle)
• LDH-1: Heart
• LDH-2: Blood
• LDH-3: Brain, kidney, lungs, spleen, pancreas
• LDH-4: Liver and skeletal muscle
• LDH-5: Liver and skeletal muscle",,A,
Question 12,Identify the type of marked chromosome in the given karyotype.,"a) Acrocentric
b) Metacentric
c) submetacentric
d) Telocentric","The marked chromosome is chromosome 13 and the type is acrocentric.
Each chromatid has a long arm q and a short arm p. The two arms are separated by a centromere. In this image, the centromere is not midway between the two ends of the chromatids. It is seen towards one end with a marked difference in length between the p and q arms, hence it is an acrocentric chromosome.
chromosomes are classified based on the position of the centromere as follows:
• Metacentric: centromere is centrally placed and the two arms are equal in length
• submetacentric: centromere is slightly away from the center and the two arms are only slightly different in length
• Acrocentric: centromere is nearer to one end and the difference in length of arms is marked • Telocentric: centromere lies at one end.
Group: A, B, c, D, E, F, G
pairs of chromosome: 1–3, 4, 5, 6–12, X-chromosome, 13–15, 16–18, 19, 2o, 21, 22 + Y-chromosome
Features: Long, metacentric; Long, submetacentric; Medium, submetacentric; Medium, acrocentric satellite bodies +; short, metacentric (16) or su bmetacentric (17 and 18); short, metacentric; short, acrocentric satellite bo dies +",794-635.PNG,A,nan;809-641.PNG
Question 13,which of the following consumes the highest energy during assimilation?,"a) proteins
b) carbohydrates
c) Mono-unsaturated fatty acids
d) poly-unsaturated fatty acids","proteins consume the highest energy during assimilation.
The energy wasted in the assimilation of food is represented as diet-induced thermogenesis or specific dynamic action(SDA). Diet-induced thermogenesis (DIT) can be defined as the increase in energy expenditure above the basal metabolic rate and is expressed as a percentage.
The values for diet-induced thermogenesis are relatively higher protein and alcohol consumption and lower at a high-fat consumption, the hierarchy for it, being in the sequence of alcohol> protein> fat> carbohydrate. The value of DIT for protein is 3o%, the lipid is 15% and carbohydrate is 5%. Hence, taking into account the loss of energy as DIT, additional 1o% calories should be provided in a mixed diet.",,A,
Question 14,which of the following is the best method to detect HbA1c?,"a) Ion-exchange chromatography
b) Electrophoresis
c) Immunoassay
d) Affinity chromatography","Ion-exchange chromatography is the best method to detect HbA1c.
Ion-exchange chromatography allows the separation of ionizable molecules according to differences in charge. It involves the use of a column which contains a matrix consisting of resin-bound charged groups.
If the charged group is anionic or negatively charged, it is called a cation exchanger and is used in cation exchange chromatography where proteins with a net positive charge migrate through the matrix more slowly than those with a net negative charge due to retardation of the migration of the former which is attracted to the negative charges bound to the resin. cation exchange chromatography is used for negatively charged HbA1c estimation and is used as a diagnostic tool for diabetes mellitus.
Glycated hemoglobin, reported as HbA1c, has been used to monitor glycemic control in patients with diabetes for many years. HbA1c results from the attachment of glucose to the N-terminal valine of the hemoglobin β-chain.
The concentration of HbA1c depends on both the concentration of glucose in the blood and the lifespan of the erythrocyte. since the half-life of an RBC is 6o days, the level of glycated haemoglobin reflects the mean blood glucose concentration over the preceding 6 to 8 weeks.
Normal glucose tolerance is characterized by an HbA1c < 5.7%; any value of HbA1c equal to or exceeding 6.5 % is diagnostic of the patient being diabetic. Also, ion exchange chromatography has the advantage of separating hemoglobin variants into peaks with the least interference by other hemoglobin variants; its disadvantage is that it is temperature dependant.
other options:
option B: Electrophoresis is an electrochemical process where macromolecules or colloidal particles depending on the electric charge migrate in a solution under the influence of an electric current. It can also be used for HbA1c estimation, its advantage being able to identify different variants of haemoglobin and disadvantage being interference of the process by fetal hemoglobin(HbF).
option C: Immunoassays are used to quantify molecules based on the specificity and selectivity of antibody reagents generated. It can provide quantitative estimates of HbA1c but HbF produces falsely low results and hemoglobin variants such as Hbs and HbC may cause a false increase in HbA1c measurements.
option D: Affinity chromatography is a type of liquid chromatography. It involves the passing of a matrix through a solution that consists of the molecules of interest. These molecules would have a specific affinity for ligands present in the matrix and bind with them and end up getting separated from the solution. It can be used to measure HbA1c without being affected by temperature. High levels of HbF seen in thalassemia may interfere with its result.",,A,
Question 15,which of the following options is false in a patient with advanced liver disease?,"a) Hyperammonemia
b) Decreased ATP synthesis
c) oxidative decarboxylation of alpha-keto glutarate
d) Increased synthesis of glutamine and glutamate from alpha-ketoglutarate","oxidative decarboxylation of alpha-ketoglutarate is not seen in a patient with advanced liver disease. option C is false.
Normally, ammonia, a toxic by-product of protein catabolism, is excreted as urea upon being metabolised in the urea cycle, which takes place in the liver. In advanced liver disease, impaired ammonia metabolism leads to hyperammonemia. Ammonia withdraws α-ketoglutarate to form glutamate and glutamine. This leads to lowered concentrations of all citric acid cycle intermediates, and hence reduced generation of ATP.
The krebs cycle involves a sequence of reactions occurring in mitochondria that oxidize the acetyl moiety of acetyl-CoA to Co2 and reduces the coenzymes that are reoxidized through the electron transport chain. It is the final common pathway for the oxidation of carbohydrates, lipids, and protein also has a central role in gluconeogenesis, lipogenesis, and interconversion of amino acids. Although processes occur in many tissues, the liver is the only tissue in which all occur to a significant extent.
The reactions that occur in kreb's cycle are shown in the image below.
one of the steps of the krebs cycle involves α-ketoglutarate undergoing oxidative decarboxylation in a reaction catalyzed by α-ketoglutarate dehydrogenase, resulting in the formation of succinyl-CoA. High concentrations of ammonia inhibit α-ketoglutarate dehydrogenase, thereby preventing its oxidative decarboxylation.",,C,nan;811-642.PNG
Question 16,which of the following is associated with a defect in collagen maturity?,"a) scurvy
b) Rickets
c) Beri-beri
d) Night blindness","scurvy is associated with a defect in collagen maturity.
scurvy results from ascorbic acid or vitamin C deficiency. vitamin C is an essential cofactor for the enzyme prolyl hydroxylase, required for the hydroxylation of prolyl residues in collagen. This enables each collagen fibril to form a uniform and flexible triple helix configuration in the body’s connective tissues.
Its deficiency results in a defective prolyl hydroxylase activity, thereby resulting in the impaired formation of mature connective tissue; the clinical manifestations of this deficiency include petechiae, ecchymosis, coiled hairs, inflamed and bleeding gums, joint effusion, tooth loss, bone fracture, poor wound healing, and fatigue which can be attributed to impaired collagen synthesis all of which are typical of scurvy.
Risk factors include chronic alcoholism, diseases such as celiac disease and Crohn’s disease, associated with malabsorption and poor nutrition.
It is treated with vitamin C supplementation.
other options:
option B- Rickets is caused due to deficiency of vitamin D in children which is characterized by the continued formation of the collagen matrix of bone but its incomplete mineralization or demineralization. Children have soft, pliable bones.
option C- Beriberi is caused due to deficiency of thiamine. It can either be dry beriberi characterized by peripheral neuropathy or wet beriberi characterized by edema due to dilated cardiomyopathy.
option D- Night blindness is caused by a deficiency of vitamin A. Deficiency can also lead to pancreatic insufficiency, repeated gastrointestinal, pulmonary, and urinary infections, and xeropthalmia.",,A,
Question 17,which of the following is not a substrate for glucose formation?,"a) Acetyl coenzyme A
b) Glycerol
c) Alanine
d) Lactate","Acetyl coenzyme A (CoA) is not a substrate for glucose formation.
Acetyl CoA and compounds that give rise to acetyl CoA alone like acetoacetate, lysine, and leucine cannot give rise to a net synthesis of glucose. This is because of the irreversible nature of the pyruvate dehydrogenase complex, which converts pyruvate to acetyl CoA. These compounds give rise to ketone bodies instead.
The synthesis of glucose in the body, in the absence of dietary carbohydrates, occurs in two ways:
• From liver glycogen, by a process known as glycogenolysis in the absence of dietary carbohydrate, for up to 24 hours.
• De novo, from non-carbohydrate sources, by a process known as gluconeogenesis, when glycogen stores have depleted. This occurs primarily in the liver and to a lesser extent in the kidneys while fasting overnight or primarily in the kidneys during prolonged fasting of 48 hours or longer.
The substrate for glycogenolysis is glycogen and during this process, glycogen is first converted into glucose-1-phosphate by the enzyme glycogen phosphorylase. This is a rate-limiting step in the process. Glucose-1-phosphate is then converted to glucose-6-phosphate by the enzyme phosphoglucomutase and eventually, glucose is obtained from glucose-6-phosphate by the enzyme phosphatase. There is no involvement of acetyl CoA.
The steps with enzymes involved in glycogenolysis are shown in the image below.
In gluconeogenesis, the substrates can be:
• oxaloacetate (from its conjugate acid, oxaloacetic acid) is a direct precursor of phosphoenolpyruvate
• Pyruvate, an α-keto acid that can be converted to glucose. Alanine is a glucogenic amino acid that is transaminated to form pyruvate by the enzyme alanine amino-transferase in the liver; the pyruvate formed, can be used for the synthesis of glucose.
• Lactate, obtained from anaerobic glycolysis, released from skeletal muscles and RBCs into the blood, to be taken up by the liver in the Cori cycle to be oxidised to pyruvate, to eventually synthesize glucose
• Glycerol from adipose tissue is converted to dihydroxyacetone phosphate in the liver, which itself is an intermediate of glycolysis and gluconeogenesis.
The steps and enzymes involved in gluconeogenesis are shown in blue in the flowchart below.",,A,nan;812-643.PNG;813-644.PNG
Question 18,which of the following is the best test for quantitative analysis of an RNA sample?,"a) Real time PCR
b) Reverse transcriptase PCR
c) PCR - Restriction Fragment Length Polymorphism
d) RTPCR followed by Real time PCR","RTPCR followed by real-time PCR is the best test for quantitative analysis of an RNA sample.
RTPCR (reverse transcriptase PCR) involves the generation of complementary DNA (cDNA) copies of the mRNA using the reverse transcriptase enzyme followed by amplification of the cDNA copies by PCR technique.
Quantification of DNA involves the assessment of the amount/concentration of DNA that is present in a sample when carrying out a technique like PCR. Real-time PCR or quantitative PCR/qPCR involves the quantification of DNA after each cycle of amplification, or, in ""real-time"" than at the end of the procedure; therefore real-time PCR helps in quantitative analysis of DNA.
when reverse transcriptase PCR and qPCR are combined, they can be used to determine the relative concentrations of a particular mRNA molecule in a cell.
other options:
option A: Real-time PCR alone can only be used for the quantification of DNA only.
option B: RTPCR can convert the RNA into cDNA by reverse transcriptase enzyme and then amplify the cDNA copies by means of PCR but cannot quantify the DNA/RNA.
option C: PCR-Restriction fragment length polymorphism (PCR-RFLP) is also called cleaved amplified polymorphic sequence (CAPS) assay. Polymorphisms are inherited differences found among individuals in more than 1% of the normal population. PCR-RFLP is a technique in which organisms may be differentiated by variations in their DNA sequence by restriction endonucleases. Typically, gel electrophoresis is used to visualize RFLPs. Thus, DNA but not RNA molecules can be quantified in this process.",,D,
Question 19,wobble hypothesis explains which of the following concepts ofthe genetic code?,"a) universal
b) unambiguous
c) Degeneracy
d) Non-punctuated","The wobble hypothesis explains the degeneracy of the genetic code.
The wobble hypothesis states that codon-anticodon pairing follows the traditional watson–Crick rules (G pairs with C and A pairs with U) for the first two bases of the codon but can be less stringent for the third/last base. It has been observed that a tRNA can recognize more than one codon for a specific amino acid, especially in the last nucleotide of the codon triplet. This is referred to as degeneracy and its mechanism can be explained by the wobble hypothesis.
The first base of the anticodon moves to permit nontraditional pairing with the last base of the codon. This movement is called wobble and is possible because the first base of the anticodon is not as spatially defined as the other two bases. Due to the wobbling, 61 tRNA species are not required to read the 61 codons.
For example, three codons for glycine—GGU, GGC, and GGA—can form a base pair from one anticodon, 3, CCI 5, ie, I, inosine, can base pair with U, C, and A, as shown in the diagram below. other options:
option A: The genetic code is universal because it is the same for all living organisms.
option B: The genetic code is unambiguous because each codon is specific for only one amino acid. Example: GGA only codes for Glycine.
option D: The genetic code is non-punctuated. This means that once the reading commences at a specific start codon, it is continuous and is read continuously as triplets until a stop codon is reached without stopping.",,C,nan;815-645.PNG
Question 20,which of the following statements are true regarding mitochondrial DNA?,"a) 1 and 3
b) 1 and 2
c) 2 and 4
d) 2 and 3","statements 1 and 2 are true regarding mitochondrial DNA; it has a higher rate of mutations as compared to the nuclear genome and is a circular double-stranded DNA with about 16,ooo base pairs.
Mitochondrial DNA is circular, double-stranded DNA composed of heavy and light chains and comprises about 1% of total cellular DNA. It contains about 16,569 base pairs and encodes about 13 protein subunits of the electron transport chain, of a total of about 67 protein subunits.
Its genetic code/ nucleotide sequence largely differs from that of the standard cellular code. For example, the standard stop codon UGA is read as tryptophan (Trp); in addition, few untranslated sequences exist and a very high mutation rate, about 5-1o times compared to that of nuclear DNA of the cell is observed.
As all mitochondria are contributed by the ovum during zygote formation, human mitochondrial DNA is transmitted by maternal non-mendelian inheritance. This is clinically significant because in diseases resulting from mutations of mitochondrial DNA, except in a few cases, an affected mother would pass the disease to all of her children but only her daughters would transmit the trait.
The below image shows the mitochondrial inheritance",,B,nan;816-646.PNG
Question 21,what is the repair mechanism associated with CRISPR-Cas9?,"a) Non-homologous end joining
b) Base excision repair
c) Nucleotide excision repair
d) Mismatch repair","The repair mechanism associated with cRISPR-cas9 is non-homologous end-joining.
Non-homologous end-joining (NHEJ) is a mechanism by which a group of proteins mediates the recognition, processing, and direct ligation of the ends of two DNA fragments where a double-strand break in DNA has occurred. This is in contrast to homologous recombination (HR), another mechanism to repair a double-strand break, where DNA repair needs an undamaged homologous DNA template to replace an adjacent damaged one.
clustered regularly interspaced short palindromic repeats-associated gene 9 or cRISPR-cas9 is a DNA editing/gene regulatory system. It involves two essential components, cas9, an endonuclease that causes a double-stranded DNA break, allowing modifications to the genomic DNA to be made; and a synthetic single guide RNA or sgRNA responsible for guiding cas9 to its target.
once the sgRNA has directed the cas9 to the section of the genomic DNA to be edited, the 3’ end of the sgRNA comes to lie across a specific sequence of DNA adjacent to the editing side called the protospacer adjacent motif or PAM. The cas9 now causes a double-stranded break in the DNA at the PAM site which is then repaired by a non-homologous end-joining.
The following image shows cRISPR-cas9 system",,A,nan;817-647.PNG
